Legislation Number,Title,Sponsor,Party,Date Introduced,Committee,Latest Action,Latest Action Date,URL
S. 1290,"A bill to expand the functions of the National Institute of Standards and Technology to include workforce frameworks for critical and emerging technologies, to require the Director of the National Institute of Standards and Technology to develop an artificial intelligence workforce framework, and periodically review and update the NICE Workforce Framework for Cybersecurity, and for other purposes.","Peters, Gary C. [Sen.-D-MI]",Democratic,04/03/2025,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",04/03/2025,https://www.congress.gov/bill/119th-congress/senate-bill/1290
S. 1269,"A bill to promote United States leadership in technical standards by directing the National Institute of Standards and Technology and the Department of State to take certain actions to encourage and enable United States participation in developing standards and specifications for artificial intelligence and other critical and emerging technologies, and for other purposes.","Blackburn, Marsha [Sen.-R-TN]",Republican,04/02/2025,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",04/02/2025,https://www.congress.gov/bill/119th-congress/senate-bill/1269
S. 1213,"A bill to prohibit the distribution of materially deceptive AI-generated audio or visual media relating to candidates for Federal office, and for other purposes.","Klobuchar, Amy [Sen.-D-MN]",Democratic,03/31/2025,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,03/31/2025,https://www.congress.gov/bill/119th-congress/senate-bill/1213
H.R. 2385,"To establish the National Artificial Intelligence Research Resource, and for other purposes.","Obernolte, Jay [Rep.-R-CA-23]",Republican,03/26/2025,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",03/26/2025,https://www.congress.gov/bill/119th-congress/house-bill/2385
S. 1110,Leveraging Artificial Intelligence to Streamline the Code of Federal Regulations Act of 2025,"Husted, Jon [Sen.-R-OH]",Republican,03/25/2025,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,03/25/2025,https://www.congress.gov/bill/119th-congress/senate-bill/1110
H.R. 2152,AI PLAN Act,"Nunn, Zachary [Rep.-R-IA-3]",Republican,03/14/2025,House - Financial Services,Referred to the House Committee on Financial Services.,03/14/2025,https://www.congress.gov/bill/119th-congress/house-bill/2152
S. 1085,A bill to require the Secretary of Health and Human Services to implement a pandemic preparedness and response program using artificial intelligence.,"Rounds, Mike [Sen.-R-SD]",Republican,03/14/2025,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",03/14/2025,https://www.congress.gov/bill/119th-congress/senate-bill/1085
H.R. 1788,Fair Grocery Pricing Act,"Frost, Maxwell [Rep.-D-FL-10]",Democratic,03/03/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,03/03/2025,https://www.congress.gov/bill/119th-congress/house-bill/1788
H.R. 1770,Consumer Safety Technology Act,"Soto, Darren [Rep.-D-FL-9]",Democratic,03/03/2025,House - Energy and Commerce,Ordered to be Reported by Voice Vote.,03/04/2025,https://www.congress.gov/bill/119th-congress/house-bill/1770
H.R. 1736,Generative AI Terrorism Risk Assessment Act,"Pfluger, August [Rep.-R-TX-11]",Republican,02/27/2025,House - Homeland Security,Subcommittee Consideration and Mark-up Session Held,03/25/2025,https://www.congress.gov/bill/119th-congress/house-bill/1736
H.R. 1734,Preventing Deep Fake Scams Act,"Pettersen, Brittany [Rep.-D-CO-7]",Democratic,02/27/2025,House - Financial Services,Referred to the House Committee on Financial Services.,02/27/2025,https://www.congress.gov/bill/119th-congress/house-bill/1734
H.R. 1709,Understanding Cybersecurity of Mobile Networks Act,"Landsman, Greg [Rep.-D-OH-1]",Democratic,02/27/2025,House - Energy and Commerce,Ordered to be Reported by Voice Vote.,03/04/2025,https://www.congress.gov/bill/119th-congress/house-bill/1709
H.R. 1694,AI Accountability Act,"Harder, Josh [Rep.-D-CA-9]",Democratic,02/27/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,02/27/2025,https://www.congress.gov/bill/119th-congress/house-bill/1694
H.R. 1692,PATHS Act,"Guest, Michael [Rep.-R-MS-3]",Republican,02/27/2025,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,03/12/2025,https://www.congress.gov/bill/119th-congress/house-bill/1692
H.R. 1350,DOE and NSF Interagency Research Act,"Stevens, Haley M. [Rep.-D-MI-11]",Democratic,02/13/2025,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",03/25/2025,https://www.congress.gov/bill/119th-congress/house-bill/1350
H.R. 1326,DOE and USDA Interagency Research Act,"Lucas, Frank D. [Rep.-R-OK-3]",Republican,02/13/2025,"House - Science, Space, and Technology, Agriculture | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,03/25/2025,https://www.congress.gov/bill/119th-congress/house-bill/1326
H.R. 1283,Protecting Our Children in an AI World Act of 2025,"Bilirakis, Gus M. [Rep.-R-FL-12]",Republican,02/13/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,02/13/2025,https://www.congress.gov/bill/119th-congress/house-bill/1283
S. 507,Promoting Precision Agriculture Act of 2025,"Thune, John [Sen.-R-SD]",Republican,02/11/2025,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry. (text: CR S861-862)",02/11/2025,https://www.congress.gov/bill/119th-congress/senate-bill/507
S. 501,Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats,"Budd, Ted [Sen.-R-NC]",Republican,02/10/2025,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",02/10/2025,https://www.congress.gov/bill/119th-congress/senate-bill/501
H.R. 1027,QUIET Act,"Sorensen, Eric [Rep.-D-IL-17]",Democratic,02/05/2025,House - Energy and Commerce,Sponsor introductory remarks on measure. (CR H519),02/06/2025,https://www.congress.gov/bill/119th-congress/house-bill/1027
H.R. 993,Emerging Innovative Border Technologies Act,"Correa, J. Luis [Rep.-D-CA-46]",Democratic,02/05/2025,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,03/11/2025,https://www.congress.gov/bill/119th-congress/house-bill/993
S. 321,Decoupling America's Artificial Intelligence Capabilities from China Act of 2025,"Hawley, Josh [Sen.-R-MO]",Republican,01/29/2025,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,01/29/2025,https://www.congress.gov/bill/119th-congress/senate-bill/321
S. 232,Preventing Algorithmic Collusion Act of 2025,"Klobuchar, Amy [Sen.-D-MN]",Democratic,01/23/2025,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,01/23/2025,https://www.congress.gov/bill/119th-congress/senate-bill/232
H.R. 334,"To amend the Communications Act of 1934 to establish technical and procedural standards for artificial or prerecorded voice systems created through generative artificial intelligence, and for other purposes.","Allen, Rick W. [Rep.-R-GA-12]",Republican,01/13/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,01/13/2025,https://www.congress.gov/bill/119th-congress/house-bill/334
S. 66,Transparency in Bureaucratic Communications Act,"Schmitt, Eric [Sen.-R-MO]",Republican,01/09/2025,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,01/09/2025,https://www.congress.gov/bill/119th-congress/senate-bill/66
H.R. 238,Healthy Technology Act of 2025,"Schweikert, David [Rep.-R-AZ-1]",Republican,01/07/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,01/07/2025,https://www.congress.gov/bill/119th-congress/house-bill/238
H.R. 193,Maintaining Innovation and Safe Technologies Act,"Schweikert, David [Rep.-R-AZ-1]",Republican,01/03/2025,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",01/03/2025,https://www.congress.gov/bill/119th-congress/house-bill/193
