State,Theme Keywords,State Abbrev
Alabama,"education, study, schools, school, develop, directs",AL
Alaska,"media, deepfake, images, election, political, disclosure",AK
Arizona,"health, insurers, decisions, care, medical, review",AZ
Arkansas,"media, deepfake, images, election, political, disclosure",AR
California,"systems, risk, data, high, consumer, transparency",CA
Colorado,"rent, landlords, rental, pricing, algorithms, algorithmic",CO
Connecticut,"health, insurers, decisions, care, medical, review",CT
Delaware,"education, study, schools, school, develop, directs",DE
Florida,"media, deepfake, images, election, political, disclosure",FL
Georgia,"child, sexual, abuse, pornography, laws, images",GA
Hawaii,"education, study, schools, school, develop, directs",HI
Idaho,"education, study, schools, school, develop, directs",ID
Illinois,"education, study, schools, school, develop, directs",IL
Indiana,"education, study, schools, school, develop, directs",IN
Iowa,"education, study, schools, school, develop, directs",IA
Kansas,"systems, risk, data, high, consumer, transparency",KS
Kentucky,"education, study, schools, school, develop, directs",KY
Maine,"education, study, schools, school, develop, directs",ME
Maryland,"health, insurers, decisions, care, medical, review",MD
Massachusetts,"systems, risk, data, high, consumer, transparency",MA
Minnesota,"rent, landlords, rental, pricing, algorithms, algorithmic",MN
Mississippi,"education, study, schools, school, develop, directs",MS
Missouri,"media, deepfake, images, election, political, disclosure",MO
Montana,"media, deepfake, images, election, political, disclosure",MT
Nebraska,"child, sexual, abuse, pornography, laws, images",NE
Nevada,"health, insurers, decisions, care, medical, review",NV
New Hampshire,"rent, landlords, rental, pricing, algorithms, algorithmic",NH
New Mexico,"education, study, schools, school, develop, directs",NM
New York,"media, deepfake, images, election, political, disclosure",NY
North Carolina,"media, deepfake, images, election, political, disclosure",NC
North Dakota,"education, study, schools, school, develop, directs",ND
Ohio,"education, study, schools, school, develop, directs",OH
Oklahoma,"education, study, schools, school, develop, directs",OK
Oregon,"education, study, schools, school, develop, directs",OR
Pennsylvania,"media, deepfake, images, election, political, disclosure",PA
Rhode Island,"education, study, schools, school, develop, directs",RI
South Carolina,"media, deepfake, images, election, political, disclosure",SC
South Dakota,"media, deepfake, images, election, political, disclosure",SD
Tennessee,"education, study, schools, school, develop, directs",TN
Texas,"systems, risk, data, high, consumer, transparency",TX
Utah,"education, study, schools, school, develop, directs",UT
Vermont,"systems, risk, data, high, consumer, transparency",VT
Virginia,"media, deepfake, images, election, political, disclosure",VA
Washington,"child, sexual, abuse, pornography, laws, images",WA
West Virginia,"systems, risk, data, high, consumer, transparency",WV
Wisconsin,"media, deepfake, images, election, political, disclosure",WI
